state,year,constituency,ac_no,district,sub_region,reservations,candidate_name,party,party_eci,url,winner,gender,age,so_do,address,profession,spouse_profession,criminal_cases,serious_criminal_cases,education,assets,liabilities,net_assets,filed_itr,declared_pan,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_remarks
Uttar Pradesh,2022,CHAMRAUA,,RAMPUR,,,Mohan Kumar Lodhi,BJP,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=820,false,Male,45,Pooran Singh,,Agriculture,House wife,0,false,Graduate Professional,14791597,783009,14008588,true,true,,,,,
Uttar Pradesh,2022,BIJNOR,,BIJNOR,,,Mohan Lal,IND,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=1530,false,Male,49,Munshi Ram,,Labour,Housewife,0,false,12th Pass,2700000,0,2700000,true,true,,,,,
Uttar Pradesh,2022,MAURANIPUR (SC),,JHANSI,,,Mohan Lal Singarya,AAP,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=1899,false,Male,61,Late Bholeram,,Pensioner ,House Wife ,0,false,Graduate Professional,6054206,1279000,4775206,true,true,,,,,
Uttar Pradesh,2022,KIDWAI NAGAR,,KANPUR NAGAR,,,Mohan Mishra,BSP,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=1775,false,Male,39,Gopal Charan Mishra,,Business ,House Wife &amp; Business,0,false,Post Graduate,17910415,0,17910415,true,true,,,,,
Uttar Pradesh,2022,BARKHERA,,PILIBHIT,,,Mohan Swaroop,BSP,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=2803,false,Male,44,Gokil Prasad,,"Agriculture, Business",Village Pradhan,0,false,10th Pass,3840000,820000,3020000,true,true,,,,,
Uttar Pradesh,2022,MEERUT SOUTH,,MEERUT,,,Mohd Adil,SP,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=562,false,Male,47,Mohd Yusuf,,Agriculture &amp; Business,Agriculture &amp; Business,2,true,12th Pass,185324000,13668868,171655132,true,true,,,,,
Uttar Pradesh,2022,NAUGAWAN SADAT,,AMROHA,,,Mohd Adil,All India Majlis-E-Ittehadul Muslimeen,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=1590,false,Male,27,Mobin,,Lawyer,House wife,1,true,Graduate Professional,2182000,500000,1682000,true,true,,,,,
Uttar Pradesh,2022,BAGHPAT,,BAGHPAT,,,Mohd Ahmed Hameed,RLD,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=52,false,Male,38,Mohd Kawkab Hameed,,Shop Rent,Nil,0,false,Post Graduate,135340000,0,135340000,true,true,,,,,
Uttar Pradesh,2022,PURWA,,UNNAO,,,Mohd Ashfak,IND,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=2515,false,Male,32,Istiyak Ahmad,,Business,Not Applicable ,0,false,10th Pass,107000,0,107000,true,true,https://myneta.info/Uttarpradesh2022/index.php?action=affidavitComparison&myneta_folder2=uttarpradesh2017&id1=2515&id2=2288,107000,103774844,-103667844,Age Difference=-5  Party in last election was BSP
Uttar Pradesh,2022,SUAR,,RAMPUR,,,Mohd Asif,AAP,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=1182,false,Male,33,Hamid Miyan,,Business,House Wife,0,false,12th Pass,1212828,0,1212828,true,true,,,,,
